

[2019-12-18 01:34:53] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-19 01:24:15] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-19 01:44:31] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-19 02:25:23] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-19 21:39:45] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-20 20:10:19] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-20 20:11:56] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-20 20:12:30] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-20 20:14:08] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-20 20:15:06] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-21 01:13:51] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-21 01:14:43] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-21 01:21:12] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-21 03:34:40] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-21 19:15:52] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-21 19:57:26] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-21 20:20:02] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-22 00:20:19] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-22 03:10:04] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-23 02:06:31] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-24 01:43:23] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-26 17:06:18] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-27 18:39:03] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-27 20:30:07] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-27 23:30:42] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


